page_file,footnote_text,cluster_label,word_count
0109_the_land_of_the_perumauls_page_109.jpg,"* Repelim is known as Eddapully or Ellengaloor, and is in the Cochin State.",3,13
0359_the_land_of_the_perumauls_page_359.jpg,"* It is curious that it has been asserted, and still is repeated again and again in Europe, that these Black Jews are a distinct race, instead of Natives of the country, converted to the Jewish faith.",0,36
0065_the_land_of_the_perumauls_page_65.jpg,"* This appears to have been an ancient symbol, of the gift, or transfer of property.",3,15
0258_the_land_of_the_perumauls_page_258.jpg,"* History is silent respecting what became of the numerous Syriac books, the Dutch must have obtained at Cranganore; they do not ever appear to have been given to the world, and a long personal search, has proved their non-exist- ence amongst the Dutch records of Cochin.",0,46
0258_the_land_of_the_perumauls_page_258.jpg,"† It seems that after the advent of the Dutch, many institutions such as the above, on being removed to more secure territory in the Native States, took the names of their original stations with them. Consequently it does not always follow, that Roman Catholic stations whic bear certain names at the present day, are the same places, which formerly in the time of the Portuguese bore those designations.",6,68
0318_the_land_of_the_perumauls_page_318.jpg,"* Castes existed amongst the Egyptians, Medes, Persians, and others. Castes are maintained amongst some Roman Catholic congregations in Malabar to this day. (See page 231.) Caste distinctions were observed in the Tanjore and other Protestant missions, from the time of Schwartz and Gerické, it was only July 5th, 1833, that Bishop Wilson declared, that the Native Christians had not followed the advice given by his predecessors for its discontinuance, that ""in short under the name of Christianity, half the evils of Paganism are retained,"" and, that it ""must be abandoned, decidedly, immediately, finally."" In Tanjore the reading of the circular, ""was received by the Native Chris- ""tians with great displeasure, and they showed their views, by seceding in a ""body.""—PERCIVAL, Land of the Vedas.",1,124
0318_the_land_of_the_perumauls_page_318.jpg,"† In every place the above rank of castes does not hold good, thus a Nair who is a Sudra, would consider himself polluted, eating with an Oonce, who is an Amabalavassee, and wears the sacred thread. That caste is the cause of many of the evils of India, the Abbé Dubois declares to be a mistaken notion. Without caste, he believed the natives of Hindustan, would rapidly degenerate into a barbarous state : thus he held the Pariah who is without caste, as an example of how the want of it would act. The Abbé asserts, that a nation of Pariahs left to themselves, would speedily become worse than the hordes of Cannibals, that wander over the African deserts.",1,118
0064_the_land_of_the_perumauls_page_64.jpg,"* See an account by Kookel keloo Nair in an interesting paper in the Madras Quarterly Journal of Literature and Science. Referring to this subject the writer observes that the Jains, or Bhuddists, ""as a people, were settled in ""Arabia, and many visited Malabar; the original name was Mahajain, and ""became in time corrupted to Magains, or Magans. The Hindus through mis- ""take call the Mussalmen also Bhuddists, and from this arose the idea, that ""the last of the Permauls became a Mahomedan.""",4,82
0064_the_land_of_the_perumauls_page_64.jpg,"† The gowlees, (cowherds), in the Deccan, appear to belong to the same race as the people of Malabar, and have Canarese and Malayalam words, mixed up with the Mahratta.",0,29
0288_the_land_of_the_perumauls_page_288.jpg,"* Colebrooke Asiatic Researches, Vol. 8., p. 383.",3,7
